Rank_2018,City,State,Est_Census_2018,Landarea_2016,Pop_Density_2016,Latitude,Longitude,Census_1880,Census_1890,Census_1900,Census_1910,Census_1920,Census_1930,Census_1940,Census_1950,Census_1960,Census_1970,Census_1980,Census_1990,Census_2000,Census_2010,Census_2017
182, Bridgeport,  Connecticut,144900,41.7,3500,41.1874,-73.1958,27643.0,48866.0,70996.0,102054.0,143555.0,146716.0,147121.0,158709.0,156748.0,156542.0,142546.0,141686.0,139529.0,144229.0,146579.0
183, McAllen,  Texas,143433,151.3,940,26.2322,-98.2464,,,,150.0,5331.0,9074.0,11877.0,20067.0,32728.0,37636.0,66281.0,89000.0,106414.0,129877.0,142696.0
184, Mesquite,  Texas,142816,122.2,1176,32.7629,-96.5888,,135.0,406.0,687.0,674.0,729.0,1045.0,1696.0,27526.0,55131.0,67053.0,101484.0,124523.0,139824.0,143949.0
185, Syracuse,  New York,142749,64.7,2214,43.0410,-76.1436,51792.0,88143.0,108374.0,137249.0,171717.0,209326.0,205967.0,220583.0,216038.0,197208.0,170105.0,163855.0,146070.0,145170.0,143396.0
186, Midland,  Texas,142344,192.7,698,32.0246,-102.1135,,,,2192.0,1795.0,5484.0,9352.0,21713.0,62625.0,59463.0,70525.0,89443.0,94996.0,111147.0,136089.0
187, Pasadena,  California,141371,59.6,2385,34.1606,-118.1396,391.0,4882.0,9117.0,30291.0,45354.0,76086.0,81864.0,104577.0,116407.0,112951.0,118072.0,131591.0,133936.0,137122.0,142647.0
188, Murfreesboro,  Tennessee,141344,144.8,910,35.8522,-86.4160,3800.0,3739.0,3999.0,4679.0,5367.0,7993.0,9495.0,13052.0,18991.0,26360.0,32845.0,44922.0,68816.0,108755.0,
189, Miramar,  Florida,140823,76.1,1818,25.9770,-80.3358,,,,,,,,,5485.0,23997.0,32813.0,40663.0,72739.0,122041.0,140328.0
190, Dayton,  Ohio,140640,144.3,974,39.7774,-84.1996,38678.0,61220.0,85333.0,116577.0,152559.0,200982.0,210718.0,243872.0,262332.0,243601.0,193536.0,182044.0,166179.0,141759.0,140371.0
191, Fullerton,  California,139640,58.0,2425,33.8857,-117.9280,,,,1725.0,4415.0,10860.0,10442.0,13958.0,56180.0,85987.0,102246.0,114144.0,126003.0,135161.0,140392.0
